# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_trips.tntp.gz coef=4.1
Instance: 12982 vertices, 39018 arcs, 2297945 commodities, 1771 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1771, capped_arcs=39018)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
   32   5.5134e+06   5.5117e+06   5.5132e+06  24491   2008     0   1662    282      2      1   1.831   0.209   0.081   2.585
   33   5.5134e+06   5.5117e+06   5.5132e+06  25251   2007     0   1640    880      1      2   2.192   0.215   0.087   2.941
   34   5.5132e+06   5.5123e+06   5.5132e+06  26527   2006     0   1635    359      0      1   1.970   0.208   0.074   2.723
   35   5.5132e+06   5.5123e+06   5.5132e+06  27334   2004     0   1642    835      0      2   2.617   0.209   0.079   3.350
   36   5.5132e+06   5.5123e+06   5.5132e+06  27888   2003     0   1569   1015      0      1   2.607   0.210   0.079   3.320
   37   5.5132e+06   5.5123e+06   5.5132e+06  27854   2002     0   1495   1529      0      1   2.749   0.203   0.084   3.462
   38   5.5132e+06   5.5123e+06   5.5132e+06  29152   2001     0   1453    155      0      1   2.315   0.202   0.085   3.066
   39   5.5132e+06   5.5124e+06   5.5132e+06  30256   2001     0   1362    258      0      0   2.526   0.201   0.078   3.265
   40   5.5132e+06   5.5124e+06   5.5132e+06  30911   2002     0   1249    594      2      1   4.743   0.203   0.102   5.524
   41   5.5132e+06   5.5124e+06   5.5132e+06  31655   2002     0   1176    432      0      0   2.602   0.208   0.089   3.334
   42   5.5132e+06   5.5124e+06   5.5132e+06  32633   2003     0   1011     33      1      0   2.686   0.214   0.106   3.450
   43   5.5132e+06   5.5124e+06   5.5132e+06  33254   2003     0    632     11      0      0   2.589   0.226   0.073   3.268
   44   5.5132e+06   5.5124e+06   5.5132e+06  33714   2003     0    460      0      0      0   2.472   0.213   0.078   2.837
   45   5.5132e+06   5.5124e+06   5.5132e+06  34007   2003     0    293      0      0      0   2.390   0.209   0.077   2.726
   46   5.5132e+06   5.5124e+06   5.5132e+06  34260   2004     0    253      0      1      0   2.821   0.202   0.099   3.184
   47   5.5132e+06   5.5124e+06   5.5132e+06  34367   2004     0    107      0      0      0   2.843   0.205   0.083   3.150
   48   5.5132e+06   5.5124e+06   5.5132e+06  34382   2003     0     15      0      0      1   3.534   0.201   0.079   3.820
   49   5.5132e+06   5.5124e+06   5.5132e+06  34382   2003     0      0      0      0      0   2.919   0.406   0.082   3.407
CG optimal after 49 iterations. UB=5513156.455748 LB=5512373.524415 gap=7.829e+02 tol=5.513e+02  t_LP=81.893  t_PR=11.667  t_SP=3.033  t_Tot=111.626

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/ChicagoRegional_net.tntp.gz,tree,49,32611,5513156.455748,5512373.524415,1,112.161,81.893,11.667,3.033
