# cmd: /home/simon/code/my/mcfcg/build/mcfcg_cli /home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz --solver mosek --formulation tree --max-iters 10000
# outcome: ok
# returncode: 0
# === STDERR (CG iteration log + preamble) ===
TNTP: net=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz trips=/home/simon/code/my/mcfcg/data/transportation/Philadelphia_trips.tntp.gz coef=7.0
Instance: 13389 vertices, 40003 arcs, 1151166 commodities, 1489 sources
Pricing threads: 32 (auto)
Slack mode: CommodityRows (struct=1489, capped_arcs=40003)
   It           UB           LB       LP_obj   #col   #row  #slk   +col   -col   +cut   -cut    t_LP    t_PR    t_SP   t_Tot
   22          inf         -inf   2.5660e+07  13688   2171     0   1489   1686      5     49   5.982   0.178   0.062   6.489
   23          inf         -inf   2.5645e+07  13587   2157     0   1488   1589     20     34   5.525   0.174   0.059   6.023
   24          inf         -inf   2.5632e+07  13812   2163     0   1489   1264     19     13   6.356   0.176   0.060   6.852
   25          inf         -inf   2.5623e+07  13884   2152     0   1489   1417     10     21   5.002   0.174   0.059   5.499
   26          inf         -inf   2.5616e+07  14121   2132     0   1489   1252      3     23   4.878   0.177   0.058   5.369
   27          inf         -inf   2.5609e+07  14167   2125     0   1489   1443     12     19   5.138   0.175   0.060   5.638
   28          inf         -inf   2.5605e+07  14317   2128     0   1488   1338     18     15   4.872   0.177   0.083   5.394
   29          inf         -inf   2.5600e+07  14425   2129     0   1489   1381      6      5   4.920   0.177   0.060   5.419
   30          inf         -inf   2.5597e+07  14396   2118     0   1489   1518      5     16   6.841   0.179   0.066   7.355
   31          inf         -inf   2.5594e+07  14572   2121     0   1489   1313     12      9   5.242   0.178   0.062   5.747
   32          inf         -inf   2.5591e+07  14602   2117     0   1488   1458      7     11   5.724   0.181   0.061   6.240
   33          inf         -inf   2.5589e+07  14823   2120     0   1488   1267      8      5   5.715   0.179   0.061   6.217
   34          inf         -inf   2.5588e+07  14792   2127     0   1488   1519     15      8   5.772   0.179   0.066   6.293
   35          inf         -inf   2.5586e+07  15070   2126     0   1488   1210      4      5   6.075   0.172   0.064   6.579
   36          inf         -inf   2.5585e+07  15184   2125     0   1489   1375      2      3   5.577   0.173   0.063   6.112
   37          inf         -inf   2.5584e+07  15303   2114     0   1487   1368      4     15   6.644   0.172   0.064   7.154
   38          inf         -inf   2.5583e+07  15442   2115     0   1488   1349      5      4   5.601   0.174   0.065   6.109
   39          inf         -inf   2.5582e+07  15621   2116     0   1489   1310      5      4   5.498   0.170   0.064   6.001
   40          inf         -inf   2.5581e+07  15924   2107     0   1489   1186      2     11   5.326   0.171   0.065   5.839
   41          inf         -inf   2.5581e+07  15981   2104     0   1488   1431      5      8   6.630   0.172   0.067   7.149
   42          inf         -inf   2.5580e+07  16372   2109     0   1487   1096      6      1   4.782   0.171   0.067   5.298
   43          inf         -inf   2.5580e+07  16747   2108     0   1487   1112      2      3   7.030   0.169   0.068   7.559
   44          inf         -inf   2.5579e+07  17288   2107     0   1488    947      3      4   5.435   0.173   0.072   5.974
   45          inf         -inf   2.5579e+07  18055   2103     0   1488    721      2      6   5.507   0.172   0.070   6.052
   46          inf         -inf   2.5579e+07  18256   2105     0   1488   1287      4      2   5.710   0.173   0.074   6.253
   47          inf         -inf   2.5579e+07  18472   2106     0   1487   1271      4      3   5.725   0.172   0.074   6.269
   48          inf         -inf   2.5578e+07  19220   2107     0   1486    738      4      3   6.654   0.171   0.076   7.212
   49          inf         -inf   2.5578e+07  19940   2107     0   1487    767      1      1   6.817   0.179   0.079   7.393
   50   2.5578e+07   2.5570e+07   2.5578e+07  19421   2107     0   1487   2006      0      0   7.705   0.175   0.050   8.206
   51   2.5578e+07   2.5570e+07   2.5578e+07  19565   2107     0   1487   1343      1      1   7.646   0.189   0.080   8.222
   52   2.5578e+07   2.5570e+07   2.5578e+07  20096   2105     0   1486    955      1      3   8.341   0.178   0.086   8.934
   53   2.5578e+07   2.5570e+07   2.5578e+07  20766   2105     0   1485    815      2      2   8.666   0.170   0.082   9.241
   54   2.5578e+07   2.5571e+07   2.5578e+07  20063   2101     0   1486   2189      0      4   8.332   0.171   0.051   8.844
   55   2.5578e+07   2.5571e+07   2.5578e+07  20822   2101     0   1486    727      0      0   7.147   0.173   0.051   7.637
   56   2.5578e+07   2.5571e+07   2.5578e+07  21883   2102     0   1484    423      2      1   7.008   0.168   0.086   7.608
   57   2.5578e+07   2.5571e+07   2.5578e+07  22553   2103     0   1485    815      1      0   7.600   0.171   0.102   8.210
   58   2.5578e+07   2.5572e+07   2.5578e+07  23660   2102     0   1484    377      0      1   7.787   0.174   0.055   8.340
   59   2.5578e+07   2.5572e+07   2.5578e+07  24625   2105     0   1483    518      4      1   9.355   0.173   0.095  10.004
   60   2.5578e+07   2.5572e+07   2.5578e+07  25665   2106     0   1480    440      1      0  10.097   0.174   0.101  10.774
   61   2.5578e+07   2.5572e+07   2.5578e+07  25904   2104     0   1480   1241      0      2  11.638   0.170   0.064  12.185
   62   2.5578e+07   2.5572e+07   2.5577e+07  27111   2105     0   1465    258      2      1  11.084   0.169   0.108  11.761
   63   2.5577e+07   2.5572e+07   2.5577e+07  27951   2104     0   1460    620      0      1   9.910   0.172   0.065  10.504
   64   2.5577e+07   2.5572e+07   2.5577e+07  29304   2104     0   1436     83      0      0  10.537   0.167   0.066  11.147
   65   2.5577e+07   2.5572e+07   2.5577e+07  30579   2104     0   1323     48      0      0  12.229   0.165   0.070  12.832
   66   2.5577e+07   2.5572e+07   2.5577e+07  31577   2104     0   1147    149      0      0  11.179   0.165   0.073  11.766
   67   2.5577e+07   2.5572e+07   2.5577e+07  32355   2104     0    875     97      0      0  10.832   0.166   0.075  11.407
   68   2.5577e+07   2.5572e+07   2.5577e+07  32831   2103     0    718    242      1      2  13.279   0.167   0.138  13.972
   69   2.5577e+07   2.5572e+07   2.5577e+07  33287   2103     0    480     24      1      1  12.439   0.162   0.134  13.092
   70   2.5577e+07   2.5572e+07   2.5577e+07  33616   2103     0    330      1      0      0  12.231   0.171   0.080  12.773
   71   2.5577e+07   2.5572e+07   2.5577e+07  33758   2103     0    261    119      0      0  13.001   0.177   0.021  13.453
   72   2.5577e+07   2.5572e+07   2.5577e+07  33811   2102     0    142     89      0      1   9.936   0.179   0.025  10.389
   73   2.5577e+07   2.5572e+07   2.5577e+07  33910   2102     0    116     17      0      0  10.370   0.180   0.024  10.819
   74   2.5577e+07   2.5572e+07   2.5577e+07  33915   2101     0     18     13      0      1  12.271   0.181   0.026  12.710
   75   2.5577e+07   2.5572e+07   2.5577e+07  33919   2100     0      9      5      0      1  12.235   0.177   0.021  12.690
   76   2.5577e+07   2.5572e+07   2.5577e+07  33932   2100     0     13      0      0      0  14.052   0.180   0.022  14.257
   77   2.5577e+07   2.5572e+07   2.5577e+07  33935   2100     0      8      5      0      0  12.942   0.176   0.022  13.369
   78   2.5577e+07   2.5572e+07   2.5577e+07  33931   2100     0      5      9      0      0  11.977   0.177   0.022  12.403
   79   2.5577e+07   2.5572e+07   2.5577e+07  33924   2100     0      5     12      0      0  14.131   0.182   0.023  14.558
   80   2.5577e+07   2.5572e+07   2.5577e+07  33926   2100     0      2      0      0      0  12.980   0.177   0.022  13.180
   81   2.5577e+07   2.5572e+07   2.5577e+07  33926   2100     0      1      1      0      0  13.441   0.187   0.027  13.880
   82   2.5577e+07   2.5572e+07   2.5577e+07  33923   2100     0      1      4      0      0  10.562   0.168   0.026  10.978
   83   2.5577e+07   2.5572e+07   2.5577e+07  33921   2100     0      1      3      0      0  10.855   0.169   0.025  11.278
   84   2.5577e+07   2.5572e+07   2.5577e+07  33911   2100     0      2     12      0      0   9.798   0.172   0.022  10.219
   85   2.5577e+07   2.5572e+07   2.5577e+07  33901   2100     0      1     11      0      0   9.793   0.172   0.024  10.216
   86   2.5577e+07   2.5572e+07   2.5577e+07  33905   2100     0      4      0      0      0   9.808   0.172   0.021  10.003
   87   2.5577e+07   2.5572e+07   2.5577e+07  33908   2100     0      3      0      0      0  10.105   0.173   0.022  10.302
   88   2.5577e+07   2.5572e+07   2.5577e+07  33909   2100     0      2      1      0      0  11.283   0.176   0.027  11.709
   89   2.5577e+07   2.5572e+07   2.5577e+07  33912   2100     0      3      0      0      0  11.639   0.178   0.022  11.841
   90   2.5577e+07   2.5572e+07   2.5577e+07  33913   2100     0      1      0      0      0   9.758   0.176   0.022   9.957
   91   2.5577e+07   2.5572e+07   2.5577e+07  33914   2100     0      1      0      0      0  10.027   0.173   0.027  10.229
   92   2.5577e+07   2.5572e+07   2.5577e+07  33910   2100     0      1      5      0      0  10.202   0.177   0.021  10.622
   93   2.5577e+07   2.5572e+07   2.5577e+07  33914   2100     0      4      0      0      0  12.585   0.174   0.027  12.787
   94   2.5577e+07   2.5572e+07   2.5577e+07  33914   2100     0      0      0      0      0  11.525   0.354   0.027  11.905
CG optimal after 94 iterations. UB=25577478.498270 LB=25572120.871918 gap=5.358e+03 tol=2.558e+03  t_LP=707.640  t_PR=17.748  t_SP=4.943  t_Tot=752.876

# === STDOUT (result CSV) ===
instance,formulation,iterations,columns,objective,lower_bound,optimal,time,time_lp,time_pricing,time_separation
/home/simon/code/my/mcfcg/data/transportation/Philadelphia_net.tntp.gz,tree,94,32425,25577478.498270,25572120.871918,1,753.063,707.640,17.748,4.943
